pluto_spin_ini,charon_spin_ini,orbital semimajor axis_ini,eccentricity_ini,pluto_spin_fin,charon_spin_fin,orbital semimajor axis_fin,eccentricity_fin,,,,,,,,
8.4,2,13.2,0.1,1,1,17.00802616,1.43E-30,,,,,,,,
8.3,2,13.2,0.1,1,1,16.95211839,-3.80E-29,,,,,,,,
8.6,2,13.1,0.1,1,1,17.05854785,1.11E-27,,,,,,,,
8.5,2,13.1,0.1,1,1,17.00192027,-3.66E-30,,,,,,,,
8.4,2,13.1,0.1,1,1,16.9453857,-2.84E-24,,,,,,,,
8.7,2,13,0.1,1,1,17.05502002,8.59E-22,,,,,,,,
8.6,2,13,0.1,1,1,16.99772596,-3.50E-28,,,,,,,,
8.5,2,13,0.1,1,1,16.94053193,7.05E-28,,,,,,,,
8.8,2,12.9,0.1,1,1,17.05343952,5.42E-28,,,,,,,,
8.7,2,12.9,0.1,1,1,16.9955129,7.02E-28,,,,,,,,
8.6,2,12.9,0.1,1,1,16.93764496,-5.04E-31,,,,,,,,
8.9,2,12.8,0.1,1,1,17.05393258,9.15E-28,,,,,,,,
8.8,2,12.8,0.1,1,1,16.99530876,3.54E-30,,,,,,,,
8.7,2,12.8,0.1,1,1,16.93677367,-3.36E-31,,,,,,,,
9,2,12.7,0.1,1,1,17.0565353,1.47E-30,,,,,,,,
8.9,2,12.7,0.1,1,1,16.99721521,-4.38E-29,,,,,,,,
8.8,2,12.7,0.1,1,1,16.93799113,-4.27E-31,,,,,,,,
9.1,2,12.6,0.1,1,1,17.06132768,4.59E-27,,,,,,,,
9,2,12.6,0.1,1,1,17.00129306,8.51E-22,,,,,,,,
8.9,2,12.6,0.1,1,1,16.94135689,-2.38E-28,,,,,,,,
9.2,2,12.5,0.1,1,1,17.06838774,-7.72E-30,,,,,,,,
9.1,2,12.5,0.1,1,1,17.00762323,3.08E-31,,,,,,,,
9,2,12.5,0.1,1,1,16.94695204,2.29E-30,,,,,,,,
9.3,2,12.4,0.1,1,1,17.07775016,-1.06E-27,,,,,,,,
9.2,2,12.4,0.1,1,1,17.01625712,7.07E-28,,,,,,,,
9.1,2,12.4,0.1,1,1,16.95485528,-1.77E-29,,,,,,,,
9.4,2,12.3,0.1,1,1,17.08960916,4.89E-29,,,,,,,,
9.3,2,12.3,0.1,1,1,17.02732442,-4.29E-28,,,,,,,,
9.2,2,12.3,0.1,1,1,16.96507617,-6.97E-28,,,,,,,,
9.1,2,12.3,0.1,1,1,16.90300953,3.64E-28,,,,,,,,
